,est_B_L1_norm,true_G_L1_norm,est_G_L1_norm,est_G_L1_error,num_epochs,experiment_name,seed,S,dimension,initialization_method,regularization_parameter,max_epochs,batch_size,learning_rate,do_early_stopping,optimizer,num_controls,gradient_clip_val,do_shuffle,do_line_search,stopping_threshold,divergence_threshold,profiler
3,0.0001646938,0.50502048989992,0.50500166,9.7134120401382E-05,3,more_optimizers,0,1,2,identity,0.001,10000,10000,1,True,L-BFGS,10,,False,True,0.1,10000,advanced
7,0.0003912812,0.533572834303333,0.534956,0.001673959897268,3,more_optimizers,1,1,2,identity,0.001,10000,10000,1,True,L-BFGS,10,,False,True,0.1,10000,advanced
11,0.0031243863,0.484664124852147,0.487613,0.002948850909147,3,more_optimizers,2,1,2,identity,0.001,10000,10000,1,True,L-BFGS,10,,False,True,0.1,10000,advanced
15,0.00043244613,0.506854672872021,0.5070145,0.000238362123313,3,more_optimizers,3,1,2,identity,0.001,10000,10000,1,True,L-BFGS,10,,False,True,0.1,10000,advanced
19,6.4687956E-05,0.492685079302446,0.49271357,4.28509378557207E-05,3,more_optimizers,4,1,2,identity,0.001,10000,10000,1,True,L-BFGS,10,,False,True,0.1,10000,advanced
2,0.0063242717,0.50502048989992,0.51018226,0.00525748731098,1823,more_optimizers,0,1,2,identity,0.001,10000,10000,0.0005,True,AMSGRAD,10,,False,True,0.1,10000,advanced
6,0.0035453346,0.533572834303333,0.5421078,0.008563510320575,2265,more_optimizers,1,1,2,identity,0.001,10000,10000,0.0005,True,AMSGRAD,10,,False,True,0.1,10000,advanced
10,0.0065493365,0.484664124852147,0.49110204,0.006513531950506,2684,more_optimizers,2,1,2,identity,0.001,10000,10000,0.0005,True,AMSGRAD,10,,False,True,0.1,10000,advanced
14,0.0035151944,0.506854672872021,0.5106488,0.004240928787127,2984,more_optimizers,3,1,2,identity,0.001,10000,10000,0.0005,True,AMSGRAD,10,,False,True,0.1,10000,advanced
18,0.0056532305,0.492685079302446,0.49590725,0.003250654146627,2440,more_optimizers,4,1,2,identity,0.001,10000,10000,0.0005,True,AMSGRAD,10,,False,True,0.1,10000,advanced
1,0.00567023,0.50502048989992,0.50963306,0.004773587002371,1817,more_optimizers,0,1,2,identity,0.001,10000,10000,0.0005,True,ADAMW,10,,False,True,0.1,10000,advanced
5,0.0034936178,0.533572834303333,0.5420837,0.008551897182159,2226,more_optimizers,1,1,2,identity,0.001,10000,10000,0.0005,True,ADAMW,10,,False,True,0.1,10000,advanced
9,0.0065906695,0.484664124852147,0.49121407,0.006576148492488,2603,more_optimizers,2,1,2,identity,0.001,10000,10000,0.0005,True,ADAMW,10,,False,True,0.1,10000,advanced
13,0.0024635955,0.506854672872021,0.5109975,0.00422561411871,2960,more_optimizers,3,1,2,identity,0.001,10000,10000,0.0005,True,ADAMW,10,,False,True,0.1,10000,advanced
17,0.005845749,0.492685079302446,0.49604905,0.003411412192726,2428,more_optimizers,4,1,2,identity,0.001,10000,10000,0.0005,True,ADAMW,10,,False,True,0.1,10000,advanced
0,0.006363817,0.50502048989992,0.5101461,0.005209412440903,1829,more_optimizers,0,1,2,identity,0.001,10000,10000,0.0005,True,ADAM,10,,False,True,0.1,10000,advanced
4,0.003607412,0.533572834303333,0.5422641,0.008737956806115,2241,more_optimizers,1,1,2,identity,0.001,10000,10000,0.0005,True,ADAM,10,,False,True,0.1,10000,advanced
8,0.0064897654,0.484664124852147,0.49115294,0.006522714791092,2623,more_optimizers,2,1,2,identity,0.001,10000,10000,0.0005,True,ADAM,10,,False,True,0.1,10000,advanced
12,0.0026920366,0.506854672872021,0.511336,0.004482064305881,2979,more_optimizers,3,1,2,identity,0.001,10000,10000,0.0005,True,ADAM,10,,False,True,0.1,10000,advanced
16,0.0050175306,0.492685079302446,0.4955616,0.002964355005169,2452,more_optimizers,4,1,2,identity,0.001,10000,10000,0.0005,True,ADAM,10,,False,True,0.1,10000,advanced
