,experiment_name,est_B_L1_norm,true_F_L1_norm,est_F_L1_norm,est_F_L1_error,est_QR_constraint_violation,num_epochs,initial_state,F_type,include_treatment,seed,S,dimension,num_controls,low_dimensional_structure,low_dimensional_training,G_initialization_method,regularization_parameter,max_epochs,batch_size,learning_rate,do_early_stopping,optimizer,gradient_clip_val,do_shuffle,do_line_search,lbfgs_memory,stopping_threshold,divergence_threshold,profiler,walltime,true_F^S_L1_norm,est_F^S_L1_norm,est_F^S_L1_error
0,low rank scale-up,0.006642749,1.0794017428878278,1.0793712,0.0002472234966870579,5.1438211770005185e-08,40,random,low_rank,True,0,1,10,10,RGQ,fixed,identity,0.001,10000,100000,1,True,L-BFGS,,False,True,100,0.1,inf,,21.830295705003664,1.0794017428878278,1.0793712139129639,0.0002472234966870579
1,low rank scale-up,0.4035663,1.0794017428878278,0.9972071,0.1262184811441265,2.745213625754417e-08,32,random,low_rank,True,0,1,10,10,RGQ,SVD,identity,0.001,10000,100000,1,True,L-BFGS,,False,True,100,0.1,inf,,12.588248786982149,1.0794017428878278,0.9972071051597595,0.1262184811441265
2,low rank scale-up,0.50077885,1.0794017428878278,1.0017021,0.11956049196344373,0.0003826309467058309,49,random,low_rank,True,0,1,10,10,RGQ,supervised,identity,0.001,10000,100000,1,True,L-BFGS,,False,True,100,0.1,inf,,41.46083344402723,1.0794017428878278,1.001702070236206,0.11956049196344373
3,low rank scale-up,0.3129352,1.0794017428878278,1.0794679,0.008748797916432407,5.1438211770005185e-08,54,random,low_rank,True,0,2,10,10,RGQ,fixed,identity,0.001,10000,100000,1,True,L-BFGS,,False,True,100,0.1,inf,,40.4361642980366,12.563323416780799,12.559571266174316,0.02515683948048327
4,low rank scale-up,0.79434705,1.0794017428878278,1.0721544,0.16835090367214112,2.3531141035704195e-08,86,random,low_rank,True,0,2,10,10,RGQ,SVD,identity,0.001,10000,100000,1,True,L-BFGS,,False,True,100,0.1,inf,,31.62927277199924,12.563323416780799,12.432412147521973,0.4043186962158263
5,low rank scale-up,0.46220428,1.0794017428878278,1.0521097,0.1079017083663037,3.0756665707940556e-05,37,random,low_rank,True,0,2,10,10,RGQ,supervised,identity,0.001,10000,100000,1,True,L-BFGS,,False,True,100,0.1,inf,,28.310131339007057,12.563323416780799,12.012310028076172,0.5744580471376629
6,low rank scale-up,1.6742775,1.0794017428878278,2.6484442,2.4280138874724435,5.1438211770005185e-08,31,random,low_rank,True,0,4,10,10,RGQ,fixed,identity,0.001,10000,100000,1,True,L-BFGS,,False,True,100,0.1,inf,,50.995323264971375,1714.1088857695902,1794.0306396484375,1682.617187471732
7,low rank scale-up,0.3894333,1.0794017428878278,1.0954409,0.25661750084637275,2.5002578460942006e-08,31,random,low_rank,True,0,4,10,10,RGQ,SVD,identity,0.001,10000,100000,1,True,L-BFGS,,False,True,100,0.1,inf,,53.52752166800201,1714.1088857695902,1574.7535400390625,330.7368906423011
8,low rank scale-up,1.1409883e-10,1.0794017428878278,0.11477153,0.9843638578682721,2.1321824039688408e-08,31,random,low_rank,True,0,4,10,10,RGQ,supervised,identity,0.001,10000,100000,1,True,L-BFGS,,False,True,100,0.1,inf,,15.895439823972993,1714.1088857695902,0.1147715300321579,1714.0138478912577
9,low rank scale-up,0.20971426,1.0794017428878278,0.33955094,0.8025449350745526,5.1438211770005185e-08,31,random,low_rank,True,0,8,10,10,RGQ,fixed,identity,0.001,10000,100000,1,True,L-BFGS,,False,True,100,0.1,inf,,71.09861982398434,31921433.330106203,126.54743194580078,31921339.297438353
10,low rank scale-up,6.786781e+21,1.0794017428878278,3.969303e+22,3.96930260553988e+22,2.6257873746438066e-08,2,random,low_rank,True,0,8,10,10,RGQ,SVD,identity,0.001,10000,100000,1,True,L-BFGS,,False,True,100,0.1,inf,,6.951820668007713,31921433.330106203,inf,inf
11,low rank scale-up,,1.0794017428878278,,,,1,random,low_rank,True,0,8,10,10,RGQ,supervised,identity,0.001,10000,100000,1,True,L-BFGS,,False,True,100,0.1,inf,,6.762971083982848,31921433.330106203,,
12,low rank scale-up,1.501919e+22,1.0794017428878278,4.701188e+22,4.7011878169813755e+22,5.1438211770005185e-08,2,random,low_rank,True,0,16,10,10,RGQ,fixed,identity,0.001,10000,100000,1,True,L-BFGS,,False,True,100,0.1,inf,,17.443305335997138,1.1070596276883984e+16,,
13,low rank scale-up,6.882672e+22,1.0794017428878278,5.3527623e+23,5.352761545597064e+23,1.608907808758886e-08,2,random,low_rank,True,0,16,10,10,RGQ,SVD,identity,0.001,10000,100000,1,True,L-BFGS,,False,True,100,0.1,inf,,14.776512676035054,1.1070596276883984e+16,inf,inf
14,low rank scale-up,,1.0794017428878278,,,,2,random,low_rank,True,0,16,10,10,RGQ,supervised,identity,0.001,10000,100000,1,True,L-BFGS,,False,True,100,0.1,inf,,34.83432033698773,1.1070596276883984e+16,,
