,B_L1_norm,G_L1_norm,G_L2_error,experiment_name,seed,S,dimension,initialization_method,regularization_parameter,max_epochs,learning_rate,do_early_stopping,optimizer,num_controls,gradient_clip_val,do_shuffle
0,0.009621919,2.034484,0.02669548604203309,initialization_v3,0,2,2,identity,0.001,800,0.0005,True,L-BFGS,10,1000000.0,False
1,116426376.0,664644740.0,664644776.2718557,initialization_v3,0,2,2,kaiming,0.001,800,0.0005,True,L-BFGS,10,1000000.0,False
2,1.2947294e-05,2.0200825,2.0649404777528524e-05,initialization_v3,0,2,2,user,0.001,800,0.0005,True,L-BFGS,10,1000000.0,False
3,0.07357629,2.159241,0.3728075055531992,initialization_v3,1,2,2,identity,0.001,800,0.0005,True,L-BFGS,10,1000000.0,False
4,0.19808877,3.8189273,4.463679055794226,initialization_v3,1,2,2,kaiming,0.001,800,0.0005,True,L-BFGS,10,1000000.0,False
5,1.9502735e-05,2.1345117,0.0002224525282663592,initialization_v3,1,2,2,user,0.001,800,0.0005,True,L-BFGS,10,1000000.0,False
6,0.09639792,2.3248472,0.8401142995364022,initialization_v3,2,2,2,identity,0.001,800,0.0005,True,L-BFGS,10,1000000.0,False
7,487.23077,2250.9758,2251.398817599885,initialization_v3,2,2,2,kaiming,0.001,800,0.0005,True,L-BFGS,10,1000000.0,False
8,3.02449e-06,1.9386553,2.3240360813761574e-05,initialization_v3,2,2,2,user,0.001,800,0.0005,True,L-BFGS,10,1000000.0,False
9,0.04077088,1.957457,0.09159765315602697,initialization_v3,4,2,2,identity,0.001,800,0.0005,True,L-BFGS,10,1000000.0,False
10,10.525186,66.44112,65.03628202213282,initialization_v3,4,2,2,kaiming,0.001,800,0.0005,True,L-BFGS,10,1000000.0,False
11,1.7162698e-05,1.9707646,7.164412658133834e-05,initialization_v3,4,2,2,user,0.001,800,0.0005,True,L-BFGS,10,1000000.0,False
12,0.099540606,1.8061799,0.3518743915198671,initialization_v3,5,2,2,identity,0.001,800,0.0005,True,L-BFGS,10,1000000.0,False
13,0.14488544,4.5469127,6.4144178578248265,initialization_v3,5,2,2,kaiming,0.001,800,0.0005,True,L-BFGS,10,1000000.0,False
14,1.3206283e-05,1.867536,5.634807466148306e-05,initialization_v3,5,2,2,user,0.001,800,0.0005,True,L-BFGS,10,1000000.0,False
